LicenseType,Breed,Color,DogName,OwnerZip,ExpYear,ValidDate
Dog Individual Male,LAB MIX,BLACK,NAHBI,15136,2018,11/27/2017 15:27
Dog Individual Spayed Female,DOBERMAN PINSCHER,BLACK/BROWN,VALKYRIE,15205,2018,11/27/2017 11:46
Dog Individual Neutered Male,TERRIER MIX,BLACK,DOGGIE,15122,2018,11/27/2017 15:37
Dog Individual Spayed Female,GREYHOUND,MULTI,ELLIE,15234,2018,11/27/2017 15:27
Dog Individual Neutered Male,YORKSHIRE TERRIER,BLACK/TAN,CURIOUS GEORGE,15057,2018,11/27/2017 15:37
Dog Individual Neutered Male,MALTESE,WHITE,WILLIE,15025,2018,11/27/2017 11:22
Dog Senior Citizen or Disability Spayed Female,CHIHUAHUA,BROWN,ROXY,15147,2018,
Dog Individual Spayed Female,MALTESE,WHITE,SNOWBALL,15025,2018,11/27/2017 11:22
Dog Senior Citizen or Disability Spayed Female,BEAGLE MIX,BROWN,HONEY PUCK,15241,2018,11/27/2017 15:37
Dog Individual Male,COCKER SPANIEL,WHITE/BLACK,BOJANGLES,15135,2018,
Dog Senior Citizen or Disability Spayed Female,CHIHUAHUA,BROWN,ROXY,15147,2018,11/29/2017 9:47
Dog Individual Neutered Male,BEAGLE,WHITE/BLACK/BROWN,BUMBLE,15136,2018,11/27/2017 11:25
Dog Individual Male,COCKER SPANIEL,WHITE/BLACK,BOJANGLES,15135,2018,11/29/2017 9:47
Dog Individual Spayed Female,MIXED,BROWN,STELLA,15044,2018,11/29/2017 9:47
Dog Individual Neutered Male,MORKIE,SPOTTED,NORMAN MITCHELL,15101,2018,11/29/2017 9:47
Dog Individual Spayed Female,TERRIER MIX,WHITE/BROWN,WINNIE,15139,2018,11/27/2017 16:03
Dog Senior Citizen or Disability Spayed Female,LAB MIX,BLACK/BRINDLE,MOLLY MAGEE,15126,2018,11/27/2017 16:03
Dog Senior Citizen or Disability Spayed Female,MALTESE,WHITE,LOLA,15235,2018,11/27/2017 11:45
Dog Individual Spayed Female,BRITTANY SPANIEL,WHITE/ORANGE,MADELEINE,15139,2018,11/27/2017 11:33
Dog Individual Male,AUS SHEPHERD,WHITE/BLACK/BROWN,BANDIT,15205,2018,11/27/2017 11:36
Dog Individual Spayed Female,LAB MIX,MULTI,KARMA,15205,2018,11/27/2017 11:36
Dog Individual Spayed Female,LABRADOR RETRIEVER,BROWN,DAKOTA,15108,2018,11/29/2017 9:47
Dog Individual Male,POODLE STANDARD,WHITE,SNOWBALL,15136,2018,11/27/2017 15:37
Dog Individual Spayed Female,TREE WALK COONHOUND,WHITE/TAN,CLOVER,15229,2018,11/27/2017 15:27
Dog Individual Neutered Male,GREAT DANE,BLACK,TITAN,15221,2018,11/29/2017 9:47
Dog Individual Female,GER SHEPHERD,WHITE,LUNA,15102,2018,11/27/2017 15:37
Dog Individual Spayed Female,BEAGLE,WHITE/BLACK/BROWN,MAEBY AXFORD,15108,2018,11/27/2017 15:27
Dog Senior Citizen or Disability Spayed Female,BEAGLE,WHITE/BLACK/BROWN,MAEBY AXFORD,15108,2018,11/27/2017 15:27
Dog Individual Male,MIXED,SPOTTED,SAINT,15202,2018,11/27/2017 15:37
Dog Senior Citizen or Disability Spayed Female,ESTRELA MTN DOG,WHITE/BLACK/BROWN,LUCE,15227,2018,11/27/2017 15:27
Dog Senior Citizen or Disability Neutered Male,MIXED,MULTI,BALOO,15221,2018,11/27/2017 11:51
Dog Individual Neutered Male,LABRADOR RETRIEVER,BLACK,RUFUS GERALD WALLACE,15120,2018,11/29/2017 9:47
Dog Individual Spayed Female,BOXER MIX,BROWN,BALEY,15239,2018,11/27/2017 15:37
Dog Individual Neutered Male,PORTUGESE WATER DOG,BLACK,JOE,15218,2018,11/29/2017 9:47
Dog Senior Citizen or Disability Neutered Male,GOLDEN RETRIEVER,TAN,JACKSON,15218,2018,11/29/2017 9:47
Dog Individual Neutered Male,SHIH TZU,BROWN,TEDDY,15148,2018,11/27/2017 15:37
Dog Senior Citizen or Disability Neutered Male,MALTESE MIX,CREAM,ASLAN MCGREGOR,15218,2018,11/27/2017 14:31
Dog Individual Male,TERRIER MIX,TAN,CHARLIE,15139,2018,11/29/2017 9:47
Dog Individual Neutered Male,COCKAPOO,RED,MURPHY,15241,2018,11/29/2017 9:47
Dog Individual Male,GER SHEPHERD,BLACK/TAN,BEAR,15133,2018,11/27/2017 12:01
Dog Individual Neutered Male,LABRADOR RETRIEVER,BLONDE,COOPER,15209,2018,11/29/2017 9:47
Dog Individual Spayed Female,MIXED,BLONDE,ROSIE,15227,2018,11/27/2017 14:31
Dog Individual Neutered Male,WEIMARANER,GREY,COOPER,15136,2018,11/27/2017 14:31
Dog Individual License - FREE,SHEPHERD MIX,BLACK,HUNTER,15146,2018,11/27/2017 12:12
Dog Individual Spayed Female,CANE CORSO,GREY,ZETA,15044,2018,11/27/2017 14:31
Dog Individual Spayed Female,LAB MIX,BLACK,MAGGIE,15133,2018,11/27/2017 12:19
Dog Individual Neutered Male,SIB HUSKY,WHITE/BLACK/BROWN,DUKE,15116,2018,11/27/2017 14:31
Dog Individual Neutered Male,LABRADOR RETRIEVER,BLACK,BRUNO,15106,2018,11/27/2017 15:37
Dog Individual Male,GER SHEPHERD,WHITE/BLACK/BROWN,CHARLIE,15228,2018,11/27/2017 15:37
Dog Individual Spayed Female,BICHON FRISE,WHITE,MOLLY,15235,2018,11/27/2017 15:37
Dog Individual Male,GOLDEN RETRIEVER,CREAM,TUCKER,15044,2018,11/27/2017 15:37
Dog Individual Spayed Female,AM PITT BULL MIX,BROWN,ELLIE,15116,2018,
Dog Individual Spayed Female,AM PITT BULL MIX,BROWN,ELLIE,15116,2018,11/27/2017 16:03
Dog Senior Citizen or Disability Spayed Female,POODLE MIX,WHITE/GREY,CHLOE,15229,2018,11/27/2017 13:01
Dog Individual Neutered Male,GOLDEN RETRIEVER,BROWN,GUS,15106,2018,11/27/2017 16:03
Dog Senior Citizen or Disability Spayed Female,MIXED,.,ROSIE,15202,2018,11/27/2017 15:37
Dog Individual Neutered Male,GOLDEN RETRIEVER,GOLD,SYDNEY,15209,2018,11/27/2017 13:24
Dog Individual Neutered Male,SHETLAND SHEEPDOG,WHITE/BLACK/BROWN,SISCO,15044,2018,11/27/2017 13:29
Dog Individual Spayed Female,LAB MIX,BLACK,PENELOPE,15131,2018,
Dog Senior Citizen or Disability Spayed Female,RAT TERRIER,WHITE/BLACK/BROWN,IZZY,15205,2018,11/27/2017 13:33
Dog Individual Spayed Female,KEESHOND,WHITE/BLACK/BROWN,CISSIE BEAR,15239,2018,11/27/2017 15:27
Dog Senior Citizen or Disability Spayed Female,YORKSHIRE TERR MIX,BLACK/BROWN,NEENA,15136,2018,11/27/2017 14:31
Dog Individual Neutered Male,GOLDEN RETRIEVER,GOLD,TOBY,15135,2018,11/27/2017 15:27
Dog Senior Citizen or Disability Spayed Female,AM PITT BULL MIX,BRINDLE,JESSE,15068,2018,11/27/2017 15:27
Dog Individual Male,GOLDEN RETRIEVER,GOLD,COBALT,15018,2018,11/27/2017 16:03
Dog Individual Spayed Female,SIB HUSKY,WHITE,ISIS,15220,2018,11/27/2017 15:27
Dog Individual Female,MIN PINSCHER,BLACK/BROWN,TONKS,15239,2018,11/29/2017 9:47
Dog Individual Spayed Female,GOLDENDOODLE,BUFF,CARLY,15108,2018,11/27/2017 13:45
Dog Senior Citizen or Disability Neutered Male,TAG,BLACK/BROWN,JAKE,15239,2018,11/29/2017 9:47
Dog Individual Spayed Female,TAG,BLACK/BROWN,MISSY,15239,2018,11/29/2017 9:47
Dog Senior Citizen or Disability Spayed Female,TAG,BLACK/BROWN,MISSY,15239,2018,11/29/2017 9:47
Dog Senior Citizen or Disability Spayed Female,DACHSHUND MIX,BLACK/BROWN,MISSY,15045,2018,11/27/2017 13:51
Dog Senior Citizen or Disability Neutered Male,YORKSHIRE TERRIER,BLACK/BROWN,JACK,15238,2018,11/29/2017 9:47
Dog Individual Spayed Female,DOBERMAN PINSCHER,RED,BELLA,15227,2018,11/27/2017 13:52
Dog Individual Neutered Male,COCKER SPANIEL,BLACK,JACKSON,15215,2018,11/29/2017 9:47
Dog Individual Neutered Male,GOLDEN RETRIEV MIX,BROWN,TATER,15216,2018,11/29/2017 9:47
Dog Individual Spayed Female,BORDER TERRIER,WHITE/BLACK,VIDA,15122,2018,11/27/2017 15:27
Dog Senior Citizen or Disability Female,LAB MIX,BLACK,NIEMA MITCHELL,15104,2018,11/27/2017 15:27
Dog Individual Male,GER SHEPHERD,BLACK/BROWN,JUDGE,15241,2018,11/29/2017 9:47
Dog Individual Spayed Female,AM PITT BULL MIX,BRINDLE,REESE,15218,2018,11/27/2017 14:31
Dog Individual Neutered Male,CHIHUAHUA,BROWN,RUBBLE,15131,2018,11/27/2017 15:27
Dog Individual Neutered Male,AM PIT BULL TERRIER,SPOTTED,WINDSOR,15122,2018,
Dog Individual Neutered Male,AM PIT BULL TERRIER,SPOTTED,WINDSOR,15122,2018,11/27/2017 16:03
Dog Individual Female,LABRADOR RETRIEVER,BROWN,ABBY,15135,2018,11/27/2017 16:03
Dog Individual Neutered Male,LABRADOR RETRIEVER,BLACK,MURPHY,15143,2018,11/27/2017 14:31
Dog Individual Spayed Female,GOLDENDOODLE,GOLD,CHARLOTTE,15227,2018,11/27/2017 15:27
Dog Individual Neutered Male,LABRADOR RETRIEVER,BLACK,HUNTER,15237,2018,11/27/2017 14:11
Dog Individual Female,ENG BULLDOG,WHITE/BRINDLE,MOLLY,15102,2018,11/29/2017 9:47
Dog Individual Neutered Male,TERRIER MIX,BROWN,BUSTER,15144,2018,11/27/2017 15:27
Dog Individual Neutered Male,TAG,BROWN,BRUTUS,15133,2018,11/27/2017 15:27
Dog Individual Female,SHIH TZU MIX,WHITE/BLACK,LEXI VAGNI,15102,2018,11/27/2017 15:27
Dog Individual Neutered Male,COCKER SPANIEL,GOLD,BANDIT,15108,2018,11/27/2017 14:20
Dog Individual Neutered Male,LABRADOR RETRIEVER,BLACK,SAMMY,15144,2018,11/27/2017 15:27
Dog Individual Neutered Male,AKITA,BROWN,BYRD,15057,2018,11/29/2017 9:47
Dog Individual Spayed Female,MIXED,BLACK,BLESSING,15090,2018,11/27/2017 15:27
Dog Individual Neutered Male,ENG BULLDOG,WHITE/TAN,MEATBALL RAMIREZ DUL,15214,2018,11/29/2017 9:47
Dog Senior Citizen or Disability Spayed Female,LAB MIX,BLACK/BROWN,SYDNEY,15239,2018,11/29/2017 9:47
Dog Individual Neutered Male,YORKSHIRE TERRIER,BROWN/BLONDE,LOUIE,15090,2018,11/29/2017 9:47
Dog Individual Male,AIREDALE TERRIER,BLACK/BROWN,MOSES,15108,2018,11/27/2017 14:25
Dog Individual Spayed Female,LAB MIX,BLACK,LAYLA MINUTELLO,15044,2018,11/29/2017 9:47
Dog Senior Citizen or Disability Neutered Male,VIZSLA,GOLD,ARCHIEE,15241,2018,11/27/2017 15:27
Dog Individual Neutered Male,MIXED,WHITE/BLACK/BROWN,BRUTUS,15236,2018,11/27/2017 15:27
Dog Individual Spayed Female,WEIMARANER,GREY,HEIDI,15202,2018,
Dog Individual Spayed Female,WEIMARANER,GREY,HEIDI,15202,2018,11/27/2017 14:29
Dog Senior Citizen or Disability Neutered Male,MIXED,WHITE/BLACK/BROWN,BRUTUS,15236,2018,11/27/2017 15:27
Dog Individual Neutered Male,MIXED,SPOTTED,BOUDREAUX,15146,2018,11/27/2017 15:27
Dog Individual Spayed Female,LABRADOR RETRIEVER,BLACK,ROXY,15024,2018,11/27/2017 15:37
Dog Individual Neutered Male,SHIH TZU,BLACK,ROSCO,15215,2018,11/27/2017 14:35
Dog Senior Citizen or Disability Female,POMERANIAN,WHITE/BLACK/BROWN,TAJ'aa,15132,2018,11/27/2017 15:37
Dog Senior Citizen or Disability Spayed Female,AM PIT BULL TERRIER,WHITE/BLACK,SH BOOM,15137,2018,11/27/2017 15:37
Dog Individual Spayed Female,AM PIT BULL TERRIER,BROWN,DAGNEY,15215,2018,
Dog Individual Spayed Female,JACK RUSSEL TERRIER,SPOTTED,MAISIE,15137,2018,11/27/2017 15:27
Dog Individual Spayed Female,AM PIT BULL TERRIER,BROWN,DAGNEY,15215,2018,11/27/2017 16:03
Dog Senior Citizen or Disability Spayed Female,SHIH TZU MIX,BROWN,PEPA,15065,2018,11/27/2017 15:37
Dog Individual Neutered Male,PUGGLE,TAN,HOLTZ,15223,2018,11/27/2017 16:03
Dog Senior Citizen or Disability Spayed Female,TERRIER MIX,WHITE/BROWN,WINKY,15243,2018,11/27/2017 15:27
Dog Senior Citizen or Disability Neutered Male,YORKSHIRE TERR MIX,BLACK/BROWN,TACO,15225,2018,11/27/2017 15:37
Dog Senior Citizen or Disability Neutered Male,SHIH TZU,SPOTTED,MITTY,15239,2018,11/27/2017 16:03
Dog Individual Female,GER SHEPHERD MIX,WHITE,MCGEE,15216,2018,11/27/2017 15:37
Dog Individual Neutered Male,MIN PINSCHER,BROWN,BO,15236,2018,11/27/2017 14:48
Dog Senior Citizen or Disability Spayed Female,RAT TERRIER,BROWN,MISSY,15133,2018,11/27/2017 15:37
Dog Senior Citizen or Disability Male,RAT TERRIER,BROWN,STEWART,15133,2018,11/27/2017 15:37
Dog Individual Neutered Male,TAG,WHITE/BROWN,NASH,15102,2018,11/27/2017 15:37
Dog Senior Citizen or Disability Spayed Female,COCKAPOO,BROWN/TAN,POPTART,15146,2018,
Dog Senior Citizen or Disability Spayed Female,COCKAPOO,BROWN/TAN,POPTART,15146,2018,11/27/2017 16:03
Dog Individual Spayed Female,POODLE MIX,BLACK,SPOOKY,15228,2018,11/27/2017 15:37
Dog Individual Spayed Female,LABRADOR RETRIEVER,BLACK,LUCY,15238,2018,11/27/2017 15:37
Dog Individual Female,BORD COLLIE,WHITE/BLACK,PARKER,15142,2018,11/27/2017 15:37
Dog Individual Spayed Female,GOLDENDOODLE,BROWN,WINNIE,15102,2018,11/29/2017 9:47
Dog Senior Citizen or Disability Female,MORKIE,WHITE,ANGEL,15668,2018,11/27/2017 16:03
Dog Senior Citizen or Disability Neutered Male,PEEKAPOO,BLACK,CHARLIE,15243,2018,11/27/2017 15:27
Dog Individual Neutered Male,GREAT PYRENEES,WHITE,JAMESON,15024,2018,11/27/2017 15:37
Dog Individual Male,GOLDEN RETRIEVER,GOLD,BUCKINGHAM BADGER SZESTERNIAK,15239,2018,11/29/2017 9:47
Dog Individual Neutered Male,PEEKAPOO,WHITE/TAN,BOO,15136,2018,11/29/2017 9:47
Dog Individual Neutered Male,PUGGLE,BLACK,ELREY,15235,2018,11/27/2017 15:37
Dog Individual Neutered Male,SHIH TZU,WHITE/BLUE,TEDDY,15241,2018,11/27/2017 16:03
Dog Individual Male,LABRADOR RETRIEVER,BROWN,HARLEY,15229,2018,11/27/2017 15:37
Dog Individual Female,SHIH TZU MIX,WHITE,RUTHIE,15237,2018,11/27/2017 15:27
Dog Individual Neutered Male,TERRIER MIX,BLACK,THOR,15108,2018,11/27/2017 15:37
Dog Individual Spayed Female,BORD COLLIE,BLACK,ABBY,15108,2018,11/27/2017 15:37
Dog Individual Neutered Male,BEAGLE MIX,BLACK,MARSHMELLOW,15108,2018,11/27/2017 15:37
Dog Senior Citizen or Disability Spayed Female,BEAGLE,BROWN,LULU,15090,2018,11/27/2017 15:27
Dog Individual Spayed Female,BOXER,BROWN,ZOE,15241,2018,11/27/2017 16:03
Dog Individual Neutered Male,SIB HUSKY,RED,BANDIT,15137,2018,11/27/2017 15:27
Dog Individual Spayed Female,LABRADOODLE,BROWN,CHLOE,15241,2018,11/27/2017 15:37
Dog Individual Spayed Female,GOLDEN RETRIEV MIX,GOLD,ZOE,15065,2018,11/27/2017 15:27
Dog Senior Citizen or Disability Male,TERRIER,SPOTTED,GABE,15239,2018,11/27/2017 15:37
Dog Individual Neutered Male,MIXED,BROWN,COOPER,15071,2018,11/27/2017 15:27
Dog Individual Neutered Male,GER SHEPHERD,BLACK,JACK BROCK,15143,2018,11/27/2017 16:03
Dog Individual Spayed Female,MIXED,WHITE/BLACK,SIDNEY,15071,2018,11/27/2017 15:27
Dog Individual Spayed Female,PUGGLE,BLACK/BROWN,KALUHA,15106,2018,11/27/2017 15:37
Dog Senior Citizen or Disability Neutered Male,GOLDEN RETRIEVER,RED/BROWN,CHESTER,15102,2018,11/27/2017 15:27
Dog Individual Neutered Male,LABRADOR RETRIEVER,BROWN,GUNNER,15017,2018,11/27/2017 16:03
Dog Individual Male,HAVANESE,SPOTTED,TUCKER,15090,2018,11/27/2017 15:27
Dog Individual Male,LABRADOODLE,GOLD,ROCCO,15017,2018,11/27/2017 15:27
Dog Senior Citizen or Disability Neutered Male,MIXED,BROWN,POE,15044,2018,11/27/2017 15:37
Dog Individual Neutered Male,REDBONE COONHOUND,RED,JACKSON,15044,2018,11/27/2017 15:27
Dog Individual Neutered Male,LAB MIX,BLACK,NIGEL,15116,2018,11/27/2017 15:37
Dog Senior Citizen or Disability Spayed Female,MIXED,WHITE/APRICOT,LUCY,15148,2018,11/27/2017 15:27
Dog Individual Spayed Female,BISHON FRISE MIX,WHITE,LACI,15238,2018,11/27/2017 15:37
Dog Individual Spayed Female,MIXED,BROWN,EPPEY,15218,2018,11/27/2017 15:37
Dog Individual Female,TAG,BROWN,DAHLIA,15136,2018,11/29/2017 9:47
Dog Individual Neutered Male,BEAGLE,RED,FELIX,15202,2018,11/27/2017 15:38
Dog Individual Neutered Male,GREYHOUND,BROWN,DASH,15237,2018,11/29/2017 9:47
Dog Senior Citizen or Disability Neutered Male,BASSET HOUND,RED,JETHRO,15239,2018,11/27/2017 15:38
Dog Individual Spayed Female,PEEKAPOO,BLACK,LITTLE BIT,15223,2018,11/27/2017 15:38
Dog Individual Neutered Male,PEEKAPOO,WHITE,DUDE,15101,2018,11/27/2017 15:38
Dog Senior Citizen or Disability Spayed Female,LABRADOR RETRIEVER,BLACK,MAGGIE,15241,2018,11/29/2017 9:47
Dog Individual Neutered Male,AUS SHEPHERD,BLUE,SUMMIT,15223,2018,11/27/2017 16:03
Dog Individual Spayed Female,RHODESIAN RIDGEBACK,BROWN,BRECK,15044,2018,11/29/2017 9:47
Dog Individual Spayed Female,LAB MIX,BLACK,PENELOPE,15131,2018,11/27/2017 15:42
Dog Individual Spayed Female,BULL TERRIER,WHITE,DOLLY PARTON,15235,2018,11/29/2017 9:47
Dog Individual Spayed Female,DACHSHUND,RUST,RASTA,15239,2018,11/27/2017 16:03
Dog Individual Spayed Female,MOUNTAIN CUR,BLACK/BROWN,MYA,15136,2018,11/27/2017 16:03
Dog Senior Citizen or Disability Spayed Female,TAG,WHITE/BROWN,ANNIE,15148,2018,11/27/2017 16:03
Dog Individual Neutered Male,GER SHEPHERD MIX,BROWN,EMMETT,15108,2018,11/27/2017 16:03
Dog Individual Neutered Male,TAG,FAWN,BUSTER,15143,2018,11/27/2017 16:03
Dog Individual Neutered Male,LAB MIX,BLACK,BUDDY,15044,2018,11/27/2017 16:03
Dog Senior Citizen or Disability Spayed Female,LHASA APSO,ORANGE/WHITE,SANDY,15116,2018,11/27/2017 16:03
Dog Senior Citizen or Disability Neutered Male,GOLDEN RETRIEVER,BLONDE,BUSTER,15108,2018,11/27/2017 16:27
Dog Individual Male,LABRADOR RETRIEVER,BLACK,CHASE,15102,2018,11/28/2017 10:26
Dog Individual Spayed Female,YORKSHIRE TERRIER,BLACK/TAN,MACY,15227,2018,11/28/2017 10:26
Dog Individual Neutered Male,POODLE MIN,BLACK,DANNY,15108,2018,11/28/2017 10:26
Dog Senior Citizen or Disability Male,GER SHEPHERD,RED/BROWN,DAKOTA,15108,2018,11/28/2017 10:26
Dog Individual Spayed Female,LAB MIX,BROWN,MYA,15237,2018,11/28/2017 10:26
Dog Senior Citizen or Disability Spayed Female,VIZSLA,BROWN,CHLOE,15243,2018,11/28/2017 10:26
Dog Individual Neutered Male,LAB MIX,TAN,BOSTON,15101,2018,11/28/2017 10:26
Dog Individual Spayed Female,GREAT DANE,SPOTTED,LEELOO,15215,2018,11/28/2017 10:26
Dog Individual Neutered Male,MIXED,WHITE/TAN,SONIC,15223,2018,11/28/2017 10:26
Dog Individual Neutered Male,GER SHEPHERD,BLACK/BROWN,KATO,15116,2018,11/28/2017 8:37
Dog Individual Spayed Female,LAB MIX,WHITE,SERRIA,15205,2018,11/28/2017 11:41
Dog Individual Spayed Female,LAB MIX,WHITE,SERRIA,15205,2018,11/28/2017 11:41
Dog Individual Neutered Male,BEAGLE MIX,TRI-COLOR,LINCOLN,15101,2018,11/28/2017 10:26
Dog Individual Neutered Male,PORTUGESE WATER DOG,WHITE/BROWN,BOLT,15142,2018,11/28/2017 10:26
Dog Individual Spayed Female,PORTUGESE WATER DOG,WHITE/BLACK,YAYA,15142,2018,11/28/2017 10:26
Dog Individual Neutered Male,TAG,TAN,SCOUT,15108,2018,11/28/2017 10:27
Dog Individual Spayed Female,BEAGLE,SPOTTED,ICHEE,15218,2018,11/28/2017 10:27
Dog Individual Spayed Female,AM PITT BULL MIX,SPOTTED,CHELSIE,15063,2018,11/28/2017 11:41
Dog Individual Neutered Male,LABRADOR RETRIEVER,BLACK,REX,15209,2018,11/28/2017 10:27
Dog Individual Neutered Male,GOLDEN RETRIEVER,GOLD,BOSLEY,15135,2018,11/28/2017 8:54
Dog Individual Spayed Female,YORKSHIRE TERRIER,CREAM,MONTY,15102,2018,11/28/2017 10:27
Dog Senior Citizen or Disability Neutered Male,SHIH TZU,WHITE/BROWN,CHASSIE,15237,2018,11/28/2017 10:27
Dog Senior Citizen or Disability Female,SIB HUSKY,WHITE/BLACK,PANDA,15037,2018,11/28/2017 11:41
Dog Individual Neutered Male,BEAGLE MIX,WHITE/BROWN,CHARLIE,15017,2018,11/28/2017 10:27
Dog Individual Neutered Male,SFT COAT WHEAT TERR,BROWN,MAVERICK,15238,2018,11/28/2017 10:27
Dog Individual Neutered Male,LABRADOR RETRIEVER,CHOCOLATE,BUSTER,15238,2018,11/28/2017 10:27
Dog Individual Female,BOXER,BROWN,PENNY,15065,2018,11/28/2017 10:27
Dog Individual Neutered Male,MIXED,BROWN,BLUE,15235,2018,11/28/2017 10:27
Dog Senior Citizen or Disability Spayed Female,DACHSHUND,RED,DAISY,15090,2018,11/28/2017 10:27
Dog Individual Spayed Female,LAB MIX,BROWN,ZOEY,15209,2018,11/28/2017 10:27
Dog Individual Male,LOWCHEN,WHITE/BLACK,BRUNO,15044,2018,11/28/2017 11:41
Dog Individual Spayed Female,POODLE MIX,WHITE/BROWN,LUCY,15227,2018,11/28/2017 10:27
Dog Individual Neutered Male,BEAGLE,WHITE/BROWN,JAKE,15108,2018,11/28/2017 11:41
Dog Individual Neutered Male,AM PITT BULL MIX,BROWN/GOLD,TUFFY,15221,2018,11/28/2017 10:27
Dog Senior Citizen or Disability Female,CHINESE CRESTED,WHITE,CASHMERE,15025,2018,11/28/2017 10:27
